timestamp,open,high,low,close,volume
2006-12-29,156.93,156.93,156.93,156.93,0.0
2007-01-02,157.76,157.76,157.76,157.76,0.0
2007-01-03,157.76,157.76,157.76,157.76,0.0
2007-01-04,156.11,156.11,156.11,156.11,0.0
2007-01-05,154.55,154.55,154.55,154.55,0.0
2007-01-08,154.42,154.42,154.42,154.42,0.0
2007-01-09,155.26,155.26,155.26,155.26,0.0
2007-01-10,154.99,154.99,154.99,154.99,0.0
2007-01-11,156.16,156.16,156.16,156.16,0.0
2007-01-12,155.24,155.24,155.24,155.24,0.0
2007-01-15,156.0,156.0,156.0,156.0,0.0
2007-01-16,156.27,156.27,156.27,156.27,0.0
2007-01-17,155.75,155.75,155.75,155.75,0.0
2007-01-18,156.79,156.79,156.79,156.79,0.0
2007-01-19,157.13,157.13,157.13,157.13,0.0
2007-01-22,157.53,157.53,157.53,157.53,0.0
2007-01-23,158.02,158.02,158.02,158.02,0.0
2007-01-24,158.06,158.06,158.06,158.06,0.0
2007-01-25,156.88,156.88,156.88,156.88,0.0
2007-01-26,156.71,156.71,156.71,156.71,0.0
2007-01-29,157.7,157.7,157.7,157.7,0.0
2007-01-30,157.99,157.99,157.99,157.99,0.0
2007-01-31,157.27,157.27,157.27,157.27,0.0
2007-02-01,156.85,156.85,156.85,156.85,0.0
2007-02-02,157.63,157.63,157.63,157.63,0.0
2007-02-05,155.85,155.85,155.85,155.85,0.0
2007-02-06,155.56,155.56,155.56,155.56,0.0
2007-02-07,156.74,156.74,156.74,156.74,0.0
2007-02-08,157.68,157.68,157.68,157.68,0.0
2007-02-09,158.06,158.06,158.06,158.06,0.0
2007-02-12,157.94,157.94,157.94,157.94,0.0
2007-02-13,157.99,157.99,157.99,157.99,0.0
2007-02-14,158.55,158.55,158.55,158.55,0.0
2007-02-15,157.78,157.78,157.78,157.78,0.0
2007-02-16,156.27,156.27,156.27,156.27,0.0
2007-02-19,157.01,157.01,157.01,157.01,0.0
2007-02-20,158.01,158.01,158.01,158.01,0.0
2007-02-21,158.91,158.91,158.91,158.91,0.0
2007-02-22,159.0,159.0,159.0,159.0,0.0
2007-02-23,159.35,159.35,159.35,159.35,0.0
2007-02-26,158.7,158.7,158.7,158.7,0.0
2007-02-27,157.68,157.68,157.68,157.68,0.0
2007-02-28,156.45,156.45,156.45,156.45,0.0
2007-03-01,155.42,155.42,155.42,155.42,0.0
2007-03-02,153.91,153.91,153.91,153.91,0.0
2007-03-05,150.93,150.93,150.93,150.93,0.0
2007-03-06,152.69,152.69,152.69,152.69,0.0
2007-03-07,152.81,152.81,152.81,152.81,0.0
2007-03-08,154.02,154.02,154.02,154.02,0.0
2007-03-09,154.28,154.28,154.28,154.28,0.0
2007-03-12,154.44,154.44,154.44,154.44,0.0
2007-03-13,154.14,154.14,154.14,154.14,0.0
2007-03-14,153.66,153.66,153.66,153.66,0.0
2007-03-15,155.09,155.09,155.09,155.09,0.0
2007-03-16,155.62,155.62,155.62,155.62,0.0
2007-03-19,156.17,156.17,156.17,156.17,0.0
2007-03-20,156.15,156.15,156.15,156.15,0.0
2007-03-21,156.64,156.64,156.64,156.64,0.0
2007-03-22,157.27,157.27,157.27,157.27,0.0
2007-03-23,156.65,156.65,156.65,156.65,0.0
2007-03-26,157.05,157.05,157.05,157.05,0.0
2007-03-27,157.91,157.91,157.91,157.91,0.0
2007-03-28,156.38,156.38,156.38,156.38,0.0
2007-03-29,156.75,156.75,156.75,156.75,0.0
2007-03-30,157.32,157.32,157.32,157.32,0.0
2007-04-02,157.35,157.35,157.35,157.35,0.0
2007-04-03,158.53,158.53,158.53,158.53,0.0
2007-04-04,158.7,158.7,158.7,158.7,0.0
2007-04-05,159.0,159.0,159.0,159.0,0.0
2007-04-10,160.05,160.05,160.05,160.05,0.0
2007-04-11,160.0,160.0,160.0,160.0,0.0
2007-04-12,160.62,160.62,160.62,160.62,0.0
2007-04-13,160.55,160.55,160.55,160.55,0.0
2007-04-16,161.96,161.96,161.96,161.96,0.0
2007-04-17,161.81,161.81,161.81,161.81,0.0
2007-04-18,160.77,160.77,160.77,160.77,0.0
2007-04-19,160.13,160.13,160.13,160.13,0.0
2007-04-20,161.45,161.45,161.45,161.45,0.0
2007-04-23,160.91,160.91,160.91,160.91,0.0
2007-04-24,161.39,161.39,161.39,161.39,0.0
2007-04-25,161.95,161.95,161.95,161.95,0.0
2007-04-26,162.26,162.26,162.26,162.26,0.0
2007-04-27,162.76,162.76,162.76,162.76,0.0
2007-04-30,162.82,162.82,162.82,162.82,0.0
2007-05-02,163.28,163.28,163.28,163.28,0.0
2007-05-03,163.47,163.47,163.47,163.47,0.0
2007-05-04,163.15,163.15,163.15,163.15,0.0
2007-05-07,163.31,163.31,163.31,163.31,0.0
2007-05-08,162.29,162.29,162.29,162.29,0.0
2007-05-09,162.35,162.35,162.35,162.35,0.0
2007-05-10,162.86,162.86,162.86,162.86,0.0
2007-05-11,161.46,161.46,161.46,161.46,0.0
2007-05-14,163.06,163.06,163.06,163.06,0.0
2007-05-15,163.08,163.08,163.08,163.08,0.0
2007-05-16,163.64,163.64,163.64,163.64,0.0
2007-05-17,163.77,163.77,163.77,163.77,0.0
2007-05-18,163.0,163.0,163.0,163.0,0.0
2007-05-21,163.32,163.32,163.32,163.32,0.0
2007-05-22,163.47,163.47,163.47,163.47,0.0
2007-05-23,163.85,163.85,163.85,163.85,0.0
2007-05-24,163.2,163.2,163.2,163.2,0.0
2007-05-25,163.5,163.5,163.5,163.5,0.0
2007-05-28,163.71,163.71,163.71,163.71,0.0
2007-05-29,164.23,164.23,164.23,164.23,0.0
2007-05-30,163.26,163.26,163.26,163.26,0.0
2007-05-31,163.56,163.56,163.56,163.56,0.0
2007-06-01,163.81,163.81,163.81,163.81,0.0
2007-06-04,164.34,164.34,164.34,164.34,0.0
2007-06-05,164.42,164.42,164.42,164.42,0.0
2007-06-06,163.67,163.67,163.67,163.67,0.0
2007-06-07,163.43,163.43,163.43,163.43,0.0
2007-06-08,162.4,162.4,162.4,162.4,0.0
2007-06-11,162.55,162.55,162.55,162.55,0.0
2007-06-12,162.56,162.56,162.56,162.56,0.0
2007-06-13,162.52,162.52,162.52,162.52,0.0
2007-06-14,163.56,163.56,163.56,163.56,0.0
2007-06-15,164.42,164.42,164.42,164.42,0.0
2007-06-18,165.46,165.46,165.46,165.46,0.0
2007-06-19,165.46,165.46,165.46,165.46,0.0
2007-06-20,165.88,165.88,165.88,165.88,0.0
2007-06-21,165.5,165.5,165.5,165.5,0.0
2007-06-22,166.75,166.75,166.75,166.75,0.0
2007-06-25,166.21,166.21,166.21,166.21,0.0
2007-06-26,165.78,165.78,165.78,165.78,0.0
2007-06-27,164.69,164.69,164.69,164.69,0.0
2007-06-28,165.61,165.61,165.61,165.61,0.0
2007-06-29,166.63,166.63,166.63,166.63,0.0
2007-07-02,166.66,166.66,166.66,166.66,0.0
