timestamp,open,high,low,close,volume
2006-12-29,1.6691,1.6691,1.6691,1.6691,0.0
2007-01-02,1.6694,1.6694,1.6694,1.6694,0.0
2007-01-03,1.6645,1.6645,1.6645,1.6645,0.0
2007-01-04,1.6681,1.6681,1.6681,1.6681,0.0
2007-01-05,1.6697,1.6697,1.6697,1.6697,0.0
2007-01-08,1.6675,1.6675,1.6675,1.6675,0.0
2007-01-09,1.6675,1.6675,1.6675,1.6675,0.0
2007-01-10,1.6664,1.6664,1.6664,1.6664,0.0
2007-01-11,1.6573,1.6573,1.6573,1.6573,0.0
2007-01-12,1.6544,1.6544,1.6544,1.6544,0.0
2007-01-15,1.6503,1.6503,1.6503,1.6503,0.0
2007-01-16,1.6511,1.6511,1.6511,1.6511,0.0
2007-01-17,1.6429,1.6429,1.6429,1.6429,0.0
2007-01-18,1.6423,1.6423,1.6423,1.6423,0.0
2007-01-19,1.6453,1.6453,1.6453,1.6453,0.0
2007-01-22,1.6382,1.6382,1.6382,1.6382,0.0
2007-01-23,1.6436,1.6436,1.6436,1.6436,0.0
2007-01-24,1.6631,1.6631,1.6631,1.6631,0.0
2007-01-25,1.6639,1.6639,1.6639,1.6639,0.0
2007-01-26,1.6684,1.6684,1.6684,1.6684,0.0
2007-01-29,1.6728,1.6728,1.6728,1.6728,0.0
2007-01-30,1.679,1.679,1.679,1.679,0.0
2007-01-31,1.6786,1.6786,1.6786,1.6786,0.0
2007-02-01,1.6782,1.6782,1.6782,1.6782,0.0
2007-02-02,1.6821,1.6821,1.6821,1.6821,0.0
2007-02-05,1.6683,1.6683,1.6683,1.6683,0.0
2007-02-06,1.6674,1.6674,1.6674,1.6674,0.0
2007-02-07,1.6695,1.6695,1.6695,1.6695,0.0
2007-02-08,1.6669,1.6669,1.6669,1.6669,0.0
2007-02-09,1.6751,1.6751,1.6751,1.6751,0.0
2007-02-12,1.6745,1.6745,1.6745,1.6745,0.0
2007-02-13,1.6811,1.6811,1.6811,1.6811,0.0
2007-02-14,1.6734,1.6734,1.6734,1.6734,0.0
2007-02-15,1.6721,1.6721,1.6721,1.6721,0.0
2007-02-16,1.6705,1.6705,1.6705,1.6705,0.0
2007-02-19,1.6718,1.6718,1.6718,1.6718,0.0
2007-02-20,1.6709,1.6709,1.6709,1.6709,0.0
2007-02-21,1.664,1.664,1.664,1.664,0.0
2007-02-22,1.661,1.661,1.661,1.661,0.0
2007-02-23,1.663,1.663,1.663,1.663,0.0
2007-02-26,1.6614,1.6614,1.6614,1.6614,0.0
2007-02-27,1.6695,1.6695,1.6695,1.6695,0.0
2007-02-28,1.6761,1.6761,1.6761,1.6761,0.0
2007-03-01,1.6814,1.6814,1.6814,1.6814,0.0
2007-03-02,1.6806,1.6806,1.6806,1.6806,0.0
2007-03-05,1.6897,1.6897,1.6897,1.6897,0.0
2007-03-06,1.6951,1.6951,1.6951,1.6951,0.0
2007-03-07,1.6867,1.6867,1.6867,1.6867,0.0
2007-03-08,1.689,1.689,1.689,1.689,0.0
2007-03-09,1.6889,1.6889,1.6889,1.6889,0.0
2007-03-12,1.6833,1.6833,1.6833,1.6833,0.0
2007-03-13,1.6793,1.6793,1.6793,1.6793,0.0
2007-03-14,1.6838,1.6838,1.6838,1.6838,0.0
2007-03-15,1.679,1.679,1.679,1.679,0.0
2007-03-16,1.6757,1.6757,1.6757,1.6757,0.0
2007-03-19,1.6633,1.6633,1.6633,1.6633,0.0
2007-03-20,1.662,1.662,1.662,1.662,0.0
2007-03-21,1.659,1.659,1.659,1.659,0.0
2007-03-22,1.6542,1.6542,1.6542,1.6542,0.0
2007-03-23,1.6519,1.6519,1.6519,1.6519,0.0
2007-03-26,1.6456,1.6456,1.6456,1.6456,0.0
2007-03-27,1.649,1.649,1.649,1.649,0.0
2007-03-28,1.6532,1.6532,1.6532,1.6532,0.0
2007-03-29,1.6506,1.6506,1.6506,1.6506,0.0
2007-03-30,1.6484,1.6484,1.6484,1.6484,0.0
2007-04-02,1.6371,1.6371,1.6371,1.6371,0.0
2007-04-03,1.6409,1.6409,1.6409,1.6409,0.0
2007-04-04,1.6413,1.6413,1.6413,1.6413,0.0
2007-04-05,1.6351,1.6351,1.6351,1.6351,0.0
2007-04-10,1.6283,1.6283,1.6283,1.6283,0.0
2007-04-11,1.6263,1.6263,1.6263,1.6263,0.0
2007-04-12,1.6304,1.6304,1.6304,1.6304,0.0
2007-04-13,1.6249,1.6249,1.6249,1.6249,0.0
2007-04-16,1.6249,1.6249,1.6249,1.6249,0.0
2007-04-17,1.6215,1.6215,1.6215,1.6215,0.0
2007-04-18,1.6291,1.6291,1.6291,1.6291,0.0
2007-04-19,1.6336,1.6336,1.6336,1.6336,0.0
2007-04-20,1.629,1.629,1.629,1.629,0.0
2007-04-23,1.6277,1.6277,1.6277,1.6277,0.0
2007-04-24,1.6424,1.6424,1.6424,1.6424,0.0
2007-04-25,1.6405,1.6405,1.6405,1.6405,0.0
2007-04-26,1.6409,1.6409,1.6409,1.6409,0.0
2007-04-27,1.6423,1.6423,1.6423,1.6423,0.0
2007-04-30,1.6427,1.6427,1.6427,1.6427,0.0
2007-05-02,1.645,1.645,1.645,1.645,0.0
2007-05-03,1.6496,1.6496,1.6496,1.6496,0.0
2007-05-04,1.6562,1.6562,1.6562,1.6562,0.0
2007-05-07,1.6483,1.6483,1.6483,1.6483,0.0
2007-05-08,1.6355,1.6355,1.6355,1.6355,0.0
2007-05-09,1.6331,1.6331,1.6331,1.6331,0.0
2007-05-10,1.6258,1.6258,1.6258,1.6258,0.0
2007-05-11,1.624,1.624,1.624,1.624,0.0
2007-05-14,1.6276,1.6276,1.6276,1.6276,0.0
2007-05-15,1.6279,1.6279,1.6279,1.6279,0.0
2007-05-16,1.636,1.636,1.636,1.636,0.0
2007-05-17,1.6421,1.6421,1.6421,1.6421,0.0
2007-05-18,1.6401,1.6401,1.6401,1.6401,0.0
2007-05-21,1.6408,1.6408,1.6408,1.6408,0.0
2007-05-22,1.6363,1.6363,1.6363,1.6363,0.0
2007-05-23,1.6336,1.6336,1.6336,1.6336,0.0
2007-05-24,1.6351,1.6351,1.6351,1.6351,0.0
2007-05-25,1.6399,1.6399,1.6399,1.6399,0.0
2007-05-28,1.6413,1.6413,1.6413,1.6413,0.0
2007-05-29,1.6473,1.6473,1.6473,1.6473,0.0
2007-05-30,1.639,1.639,1.639,1.639,0.0
2007-05-31,1.6269,1.6269,1.6269,1.6269,0.0
2007-06-01,1.6214,1.6214,1.6214,1.6214,0.0
2007-06-04,1.6177,1.6177,1.6177,1.6177,0.0
2007-06-05,1.6122,1.6122,1.6122,1.6122,0.0
2007-06-06,1.6053,1.6053,1.6053,1.6053,0.0
2007-06-07,1.5926,1.5926,1.5926,1.5926,0.0
2007-06-08,1.587,1.587,1.587,1.587,0.0
2007-06-11,1.5849,1.5849,1.5849,1.5849,0.0
2007-06-12,1.5845,1.5845,1.5845,1.5845,0.0
2007-06-13,1.5829,1.5829,1.5829,1.5829,0.0
2007-06-14,1.5937,1.5937,1.5937,1.5937,0.0
2007-06-15,1.5922,1.5922,1.5922,1.5922,0.0
2007-06-18,1.5931,1.5931,1.5931,1.5931,0.0
2007-06-19,1.5876,1.5876,1.5876,1.5876,0.0
2007-06-20,1.5851,1.5851,1.5851,1.5851,0.0
2007-06-21,1.5819,1.5819,1.5819,1.5819,0.0
2007-06-22,1.5847,1.5847,1.5847,1.5847,0.0
2007-06-25,1.585,1.585,1.585,1.585,0.0
2007-06-26,1.5849,1.5849,1.5849,1.5849,0.0
2007-06-27,1.5965,1.5965,1.5965,1.5965,0.0
2007-06-28,1.5918,1.5918,1.5918,1.5918,0.0
2007-06-29,1.5885,1.5885,1.5885,1.5885,0.0
2007-07-02,1.5859,1.5859,1.5859,1.5859,0.0
